,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
30,9.58,3.1,3.1,0.27,-11.95,3.34,0.0,-1.63,1016.13,3.26,0.23,0.91,1.91,1.93,1.93,24.0,35.0,39.0,34.5,33.5,5.54,884.86,-23.07,-8.84,1.26,5.89,7.45,0.0,0.0,9.5,9.6,5.7,3.2,3.2,-0.1
31,10.11,3.47,3.5,-0.08,-12.35,3.8,0.0,3.34,1013.14,4.09,0.07,0.89,2.03,2.11,2.11,8.0,34.0,37.03,34.91,33.85,5.28,883.01,-22.97,-9.16,2.81,7.52,9.1,7.97,0.0,9.9,12.3,5.7,3.3,3.3,2.5
32,10.01,2.38,2.4,-0.33,-10.07,-0.96,0.0,-0.67,1013.68,3.79,0.82,1.73,2.17,2.44,2.44,93.0,68.0,40.72,46.08,46.12,-3.26,883.22,-23.81,-9.3,2.74,7.31,8.7,7.66,0.0,14.8,13.2,4.4,1.5,1.3,-1.2
33,8.74,2.53,2.5,-0.78,-9.74,-2.21,0.0,-2.18,1014.35,-0.97,0.38,1.62,2.22,2.32,2.32,49.5,68.0,43.0,51.5,52.5,-4.44,883.62,-25.28,-10.01,2.67,6.96,8.2,0.0,0.0,15.0,13.7,5.3,1.6,1.5,-2.7
34,10.1,2.78,2.8,-2.13,-9.73,-2.69,0.0,-2.73,1015.13,-2.11,0.03,1.76,2.17,2.27,2.27,3.0,74.0,43.0,50.5,51.0,-4.17,884.07,-22.74,-10.0,2.12,6.61,7.8,0.0,0.0,21.1,13.8,5.3,1.8,1.7,-2.9
35,10.97,2.73,2.7,-2.45,-10.05,-3.95,0.0,-3.97,1017.33,-2.53,0.05,1.37,2.05,2.22,2.22,5.0,60.5,47.5,54.5,55.0,-4.99,885.19,-22.47,-10.57,-0.28,4.09,5.26,0.0,0.0,21.8,15.7,4.7,1.8,1.5,-3.6
36,12.47,2.83,2.8,-3.16,-13.34,-5.26,0.0,-5.23,1018.66,-3.95,0.09,0.82,1.62,1.96,1.95,10.5,38.0,43.23,50.75,51.21,-6.15,885.4,-23.53,-10.95,-2.29,2.12,3.29,0.0,0.0,22.1,14.5,4.4,2.2,1.8,-4.0
37,14.41,3.2,3.2,-3.76,-14.98,-5.0,0.0,-5.9,1021.91,-5.14,0.09,0.79,1.36,1.61,1.61,10.06,34.0,40.7,45.02,45.17,-4.99,887.62,-23.66,-10.41,-3.64,0.52,1.82,0.0,0.0,19.4,10.9,5.2,2.3,2.0,-3.1
38,14.34,2.77,2.8,-3.47,-15.24,-0.66,0.0,-5.0,1021.22,-0.81,0.09,0.55,1.36,1.37,1.37,11.0,22.5,31.93,27.9,27.23,1.78,888.54,-24.02,-9.76,-1.08,3.69,5.2,0.0,0.0,16.9,10.3,4.4,3.1,3.0,2.3
39,12.98,2.67,2.7,-3.24,-15.57,0.48,0.0,-0.66,1019.73,0.56,0.16,0.46,1.3,1.37,1.37,19.29,18.5,27.9,24.47,24.58,2.17,887.94,-24.15,-9.5,0.53,5.46,6.96,0.0,0.0,19.1,10.1,4.1,2.8,2.8,4.9
